timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1638530852113,127,POST_login_password_2-2,200,OK,create_issue_TG 2-1,text,true,,12708,288,3,6,http://192.168.64.2/account_page.php,125,0,0
1638530851832,469,GET_login_page_${thread_name},200,OK,admin_login_TG 1-1,text,true,,63494,855,3,6,http://192.168.64.2/my_view_page.php,128,0,0
1638530851832,128,GET_login_page_${thread_name}-0,302,Found,admin_login_TG 1-1,text,true,,5243,286,3,6,http://192.168.64.2/login_page.php,128,0,0
1638530851961,126,GET_login_page_${thread_name}-1,302,Found,admin_login_TG 1-1,text,true,,677,281,3,6,http://192.168.64.2/index.php,126,0,0
1638530852087,214,GET_login_page_${thread_name}-2,200,OK,admin_login_TG 1-1,text,true,,57574,288,3,6,http://192.168.64.2/my_view_page.php,212,0,0
1638530852241,341,POST_login_password_1,200,OK,create_issue_TG 2-2,text,true,,14263,930,3,6,http://192.168.64.2/account_page.php,135,0,0
1638530852241,135,POST_login_password_1-0,302,Found,create_issue_TG 2-2,text,true,,878,325,3,6,http://192.168.64.2/login.php,135,0,0
1638530852376,96,POST_login_password_1-1,302,Found,create_issue_TG 2-2,text,true,,677,317,3,6,http://192.168.64.2/login_cookie_test.php?return=account_page.php,96,0,0
1638530852472,110,POST_login_password_1-2,200,OK,create_issue_TG 2-2,text,true,,12708,288,3,6,http://192.168.64.2/account_page.php,107,0,0
1638530852241,454,GET_bug_report_page,200,OK,create_issue_TG 2-1,text,true,,20742,1253,3,6,http://192.168.64.2/bug_report_page.php,133,0,0
1638530852241,133,GET_bug_report_page-0,302,Found,create_issue_TG 2-1,text,true,,711,291,3,6,http://192.168.64.2/bug_report_page.php,133,0,0
1638530852374,106,GET_bug_report_page-1,302,Found,create_issue_TG 2-1,text,true,,713,322,3,6,http://192.168.64.2/login_select_proj_page.php?ref=bug_report_page.php,106,0,0
1638530852480,101,GET_bug_report_page-2,302,Found,create_issue_TG 2-1,text,true,,792,324,3,6,http://192.168.64.2/set_project.php?project_id=1&ref=bug_report_page.php,101,0,0
1638530852581,114,GET_bug_report_page-3,200,OK,create_issue_TG 2-1,text,true,,18526,316,3,6,http://192.168.64.2/bug_report_page.php,111,0,0
1638530852583,287,GET_bug_report_page,200,OK,create_issue_TG 2-2,text,true,,20742,1253,3,6,http://192.168.64.2/bug_report_page.php,100,0,0
1638530852583,100,GET_bug_report_page-0,302,Found,create_issue_TG 2-2,text,true,,711,291,3,6,http://192.168.64.2/bug_report_page.php,100,0,0
